mid,name,sex,level,up关注数,up粉丝数,up总播放量,up总点赞数,up投稿数,投稿分区及其投稿数量,sign
253457762,郭一绪,男,3,16,642,-1,-1,71,生活:20;科技:3;知识:48,公众号/头条号等多平台同名，昌黎人， 会点设计类软件，分享原创软件教程！
20672776,皋陶治狱,保密,5,38,5998,-1,-1,26,影视:1;知识:25,本人QQ可以添加：409872269。如需加群：837488057。（提供以下有偿服务，白嫖勿扰，下班时间忙不过来）
3493079099115561,郑春方,男,2,128,126,-1,-1,213,生活:2;知识:211,职场生存法则，团队管理分享
386725509,成信听书,保密,4,18,2876,-1,-1,145,生活:74;知识:71,分享励志好书籍。。除了B站平台外还有如下平台可观看，收听作品。。Dou音、Xi瓜、Tou条、懒人Ting书。
700267386,纪录自学的游子冲,男,4,245,734,-1,-1,324,生活:14;科技:24;美食:1;知识:270;游戏:15,专注电机齿轮箱NVH仿真，资料链接在合集简介下，仅记录学习过程，不做教程，不答疑不回评论，录音环境差听不清正常，愿自己视频越做越好
1951771832,识林ShilinX,保密,2,0,143,-1,-1,156,知识:156,全球药品法规指南 制药行业知识百科
688432269,律职,保密,2,1,990,-1,-1,199,生活:1;知识:198,法律人职业发展的无限可能。。关注公众号「律职」，获取优选职位和更多资讯！
3493121186859603,排列五课堂,保密,2,0,90,-1,-1,7,知识:7,
698877873,猫咪的虎爪,保密,3,17,152,-1,-1,118,知识:118,
3493104944417021,要努力的兜兜,保密,2,0,16,-1,-1,43,生活:12;知识:31,
591228444,多多学堂妞妞,保密,3,3,1650,-1,-1,588,知识:588,关注我，每天分享干货技巧
1985523680,贝比图文PPT,保密,3,414,443,-1,-1,823,生活:2;知识:821,汇集办公和学习的各类素材，您想要的都在这里，有需要的欢迎联系。。+V  177  2577  2218
442346549,老夏说公务员面试,保密,6,14,137799,-1,-1,126,知识:126,我是老夏，努力让更多人少走弯路。量变引起质变，一切都是积累。慢慢来，比较快。
435800723,生产安全管理网,保密,5,7,13532,-1,-1,591,影视:1;知识:590,课件那么好，何不来个“一键三连”～。离10万粉丝，仅差你的“关注”。公众号：生产安全管理网。vx：scaqgl。添加小编好友即可获取课件
356377262,江湖小乐,保密,5,16,2847,-1,-1,147,知识:147,EXCEL高级培训讲师；全网累计百万播放的EXCEL视频教学专家
689649921,bili_89821385903,保密,3,4,2106,-1,-1,633,生活:190;科技:7;汽车:2;知识:434,北极热电
1022957231,爱学习的秦小猫,保密,3,18,0,-1,-1,2,音乐:1;知识:1,一个养成系个人up主，分享个人经验和知识干货
497199631,优思学院,保密,4,79,5058,-1,-1,129,生活:2;知识:127,ILSSI认可｜国际六西格玛黑带、绿带创新认证课程
1867644774,每天学机械,男,3,7,2331,-1,-1,286,生活:1;知识:285,工学硕士，高级工程师，技术研发部经理
1189538851,时尚商品管理,保密,2,0,137,-1,-1,171,知识:171,专注时尚类商品管理内容分享
481703847,暴走萝莉one,保密,4,8,1097,-1,-1,537,生活:7;知识:530, 免费诊断店铺，领取淘宝运营大礼包  添加V信：tbb1879领取
1950866752,要生活可爱的huihuiCui,保密,4,36,86,-1,-1,74,生活:57;美食:2;知识:15,环境小白打怪记』分享学习＆生活，希望自己喜欢，也希望大家喜欢 生活快樂~。愿景：做点有用的东西
479101267,焦棚子,保密,3,21,492,-1,-1,7,知识:7,焦棚子闲谈 Power BI，带你从 0 到 1 玩转 Power BI。
476198989,大表姐Vivian_Wang,女,3,18,917,-1,-1,42,生活:1;知识:41,学好Excel，告别加班不是梦
602727723,老冯讲会计,保密,3,67,4899,-1,-1,2774,知识:2774,专注会计教育16年！。。幽默又风趣•轻松学会计
1806482147,梦幻西游小鬼谷,男,3,4,2056,-1,-1,74,知识:3;游戏:71,mhxiaogg梦幻西游职业专注钟灵石灵犀玉商人
3493116862532262,与天说副业,保密,2,2,2,-1,-1,8,知识:8,
3493075942901795,与天网创,保密,2,1,14,-1,-1,26,知识:26,
545905261,Excel咨询顾问,保密,3,14,11132,-1,-1,88,知识:88,演示文件领取~公纵号（全网同名）~【Excel咨询顾问】；徽信：838518768
540860253,李兴华-yyds,保密,3,3,2235,-1,-1,457,生活:3;科技:118;知识:336,互联网创业公司一名新入职的Java候补架构师，课程视频来自沐言优拓（www.yootk.com），相关资料自己去李老师的官方下载。
2052912825,质量人Wig老师,保密,3,2,3365,-1,-1,885,汽车:1;知识:884,"V: wigchen ,质量管理的实战派"
3493136011626768,凯铭成长思维,男,2,2,1,-1,-1,2,知识:2,凯铭成长思维，一起升级起飞。
3493122185103405,隋时变现,男,2,0,542,-1,-1,58,知识:58,"私我666,给你免费发我写的《翻身心法》。10年互联网老炮，两家10亿公司老板。三家自媒体公司，旗下多个百万达人大V。有问题?我，必有回复"
2116823778,whjinyou,保密,2,1,89,-1,-1,217,生活:4;汽车:1;知识:212,一家为企业全生命周期服务的财税公司
3461580547164674,bili_学记,保密,2,1,22,-1,-1,58,知识:58,独学而无友，则孤陋而寡闻
3493076179880859,云青烟兮,保密,2,2,88,-1,-1,52,生活:28;知识:24,
25660822,广智的销售宇宙,男,6,93,15236,-1,-1,69,知识:69,我是广智，前菊厂五年大客户经理，在职某五百强基层主管。。和你分享大客户销售的一切~。找到我：wisdomisnothing 欢迎围观朋友圈
1240188952,张雪峰新人,保密,4,13,5059,-1,-1,407,生活:2;影视:11;科技:1;知识:364;游戏:27;娱乐:2,大家有什么考研问题以及哪些专业适合考研，都可以来咨询我。
157217921,Ms_Excel,保密,5,74,2667,-1,-1,265,生活:2;科技:10;动物圈:1;知识:252,Excel/PBI /PPT +  云计算 + 外企工作日常|| 500强职业分子
61392390,IT部落窝教育,男,5,8,27437,-1,-1,3174,生活:6;科技:43;知识:3125,互联网在线教育，部落窝伴你同行。可以加微信blwjymx2或QQ800094815联系我们客服进行咨询
1453074675,恒洋底层思维,保密,4,5,31103,-1,-1,280,生活:128;知识:151;游戏:1,有系统整理课程，欢迎来交流获取，咨询加v（备注来意）:19924935185
351998442,上岸助力车,保密,5,732,2398,-1,-1,153,生活:4;影视:17;知识:132,社区面试，基层专干面试资料！V：moped007    公众号：上岸助力车    qq群：592299721
2032005974,bili_79044863296,保密,2,2,30,-1,-1,41,知识:41,
434414734,我系东爷,保密,5,18,4749,-1,-1,237,动画:5;生活:26;影视:17;科技:1;汽车:1;运动:7;音乐:7;知识:151;游戏:12;娱乐:10,生活有多无聊，就会有多可笑
1080422612,机电安装第一课,保密,2,17,15,-1,-1,12,知识:12,机电安装第一课，成功开始的人设。
1480718066,弋尘读书,保密,2,5,80,-1,-1,276,知识:276,
1843352850,番茄炒皮蛋加臭豆腐,男,3,3,2138,-1,-1,139,生活:7;影视:2;科技:9;知识:121,持续学习，分享知识，活好当下，独自欢乐
486684176,大牙先生_,保密,3,17,4,-1,-1,21,生活:16;知识:5,我在路口上站了很久。
1715684640,文仔打工娃,男,3,6,580,-1,-1,158,生活:137;美食:2;知识:19,以后在这号更新负债生活！喜欢我的可以支持一下
1433419956,哈喽CC电商,女,3,3,2995,-1,-1,362,知识:362,学习分享????13959749
1193105428,bili_1193105428,男,2,4,0,-1,-1,9,知识:9,知识改变命运 认知成长捷径
293668690,十字职场,保密,4,22,0,-1,-1,2,知识:2,
34386860,叫我青庭就好了,保密,5,656,1826,-1,-1,4,知识:4,青出于蓝的青！门庭若市的庭！
3493135709637262,排家大将军,保密,2,0,3,-1,-1,1,知识:1,
3493135709637338,排列五小能手,保密,2,0,83,-1,-1,6,知识:6,
241361484,柳橙何,男,5,619,1032,-1,-1,72,动画:1;生活:4;科技:1;知识:66,文化右傾 藝術左靠
3493129193785432,暴躁产品狗哐哐,男,2,2,137,-1,-1,6,知识:6,出身程序员，爱写内存溢出。转产品经理，最爱明天上线。倒腾过千万DAU的产品，也带带小团队。分享一些日常遇到的问题，学习各位大佬经验
398493189,朱家振,保密,4,59,8,-1,-1,64,动画:1;生活:4;知识:56;游戏:3,
492478317,带你公考上岸的王凡,保密,2,3,218,-1,-1,32,知识:32,??985院校马原硕士。??深耕公考11年，带上岸学员2000+。上岸岗位遍布江苏、浙江、湖北、河南、山西、青海、内蒙各地！
19082542,HiHekate,保密,6,191,38895,-1,-1,23,动画:1;生活:16;动物圈:2;音乐:1;知识:2;游戏:1,因为骚话太多就拿B站当朋友圈发了
324821524,国招有岗,女,5,31,5498,-1,-1,176,知识:176,全平台同名：国招有岗。每天发布公务员、事业单位和国企岗位，为您推荐好工作！  
9990725,张素真,女,5,373,1440,-1,-1,25,时尚:3;美食:1;运动:14;知识:7,
1324830208,朋哥典当,保密,0,7,2,-1,-1,346,生活:314;知识:32,
